id	kind	label	piece_hex	visible_piece
30040	piece	piece_30040	e28896	∖
30041	piece	piece_30041	e2889c	∜
30042	piece	piece_30042	e288bd	∽
30043	piece	piece_30043	e2898a	≊
30044	piece	piece_30044	e28992	≒
30045	piece	piece_30045	e28999	≙
30046	piece	piece_30046	e289a7	≧
30047	piece	piece_30047	e289af	≯
30048	piece	piece_30048	e28a83	⊃
30049	piece	piece_30049	e28a9b	⊛
30050	piece	piece_30050	e28a9e	⊞
30051	piece	piece_30051	e28aa2	⊢
30052	piece	piece_30052	e28aa8	⊨
30053	piece	piece_30053	e28ab2	⊲
30054	piece	piece_30054	e28b84	⋄
30055	piece	piece_30055	e28c83	⌃
30056	piece	piece_30056	e28c89	⌉
30057	piece	piece_30057	e28c8a	⌊
30058	piece	piece_30058	e28c9b	⌛
30059	piece	piece_30059	e28c9c	⌜
30060	piece	piece_30060	e28c9d	⌝
30061	piece	piece_30061	e28c9e	⌞
30062	piece	piece_30062	e28c9f	⌟
30063	piece	piece_30063	e28d83	⍃
30064	piece	piece_30064	e28d84	⍄
30065	piece	piece_30065	e28d89	⍉
30066	piece	piece_30066	e28d8d	⍍
30067	piece	piece_30067	e28dba	⍺
30068	piece	piece_30068	e28e8f	⎏
30069	piece	piece_30069	e28e91	⎑
30070	piece	piece_30070	e28faa	⏪
30071	piece	piece_30071	e29097	␗
30072	piece	piece_30072	e291a8	⑨
30073	piece	piece_30073	e291b4	⑴
30074	piece	piece_30074	e29289	⒉
30075	piece	piece_30075	e2938d	Ⓧ
30076	piece	piece_30076	e29481	━
30077	piece	piece_30077	e29582	╂
30078	piece	piece_30078	e29594	╔
30079	piece	piece_30079	e29598	╘
30080	piece	piece_30080	e2959a	╚
30081	piece	piece_30081	e2959d	╝
30082	piece	piece_30082	e295a0	╠
30083	piece	piece_30083	e295a4	╤
30084	piece	piece_30084	e295b3	╳
30085	piece	piece_30085	e2968b	▋
30086	piece	piece_30086	e2968d	▍
30087	piece	piece_30087	e296a3	▣
30088	piece	piece_30088	e296b0	▰
30089	piece	piece_30089	e296b9	▹
30090	piece	piece_30090	e297a7	◧
30091	piece	piece_30091	e297a8	◨
30092	piece	piece_30092	e297aa	◪
30093	piece	piece_30093	e297b0	◰
30094	piece	piece_30094	e297b1	◱
30095	piece	piece_30095	e297b2	◲
30096	piece	piece_30096	e297b3	◳
